,mo_diff_ld_drc,intPayHistComp
1204,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 148, 117, 87, 56, 25, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
1205,74,"[-1, -1, -1, -1]"
1206,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 358, 328, 297, 267, 236, 205, 175, 144, 114, 83, -1, -1, -1, -1, -1, -1, -1]"
1207,65,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1208,62,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1209,55,"[900, 900, 60, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1210,66,"[288, -1, 226, -1, 165, 134, 104, 73, -1, 12, -1, -1, -1, -1, -1, -1, -1]"
1211,80,"[29, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1212,65,"[27, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1213,2,"[-1, -1, -1, -1, -1, -1]"
1214,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
1215,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1216,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1217,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1218,5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1219,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1220,8,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1221,18,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1222,34,"[-1, -1, -1, -1, -1, -1, -1, -1]"
1223,9,"[-1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1224,29,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1225,41,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1226,41,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1227,50,"[-1, -1, -1, -1, -1]"
1228,50,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1229,50,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1230,57,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1231,60,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1232,53,"[-1, 61, 31, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1233,79,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1234,145,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1235,83,"[-1, -1, -1, -1]"
1236,71,"[-1, -1, -1, -1]"
1237,78,"[-1, -1, -1, -1]"
1238,16,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1239,78,"[-1, -1, -1, -1, -1, -1, -1]"
1240,71,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1241,83,"[-1, -1, -1, -1, -1]"
1242,0,"[0, -1, -1, -1]"
1243,-1,"[-1, -1, -1, -1, -1]"
1244,-1,"[-1, -1, -1, -1, -1]"
1245,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1246,12,"[-1, 89, 59, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1247,34,"[-1, -1, -1, -1, -1, -1, -1]"
1248,26,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1249,37,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1250,51,"[-1, -1, -1, -1, -1]"
1251,41,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1252,55,"[-1, -1, -1, -1, -1]"
1253,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1254,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0, 0, 0, 0]"
1255,21,"[0, 0, 11, 11, -1, -1, -1]"
1256,6,"[0, 7, -1, -1, -1]"
1257,7,"[0, 0, -1, -1, -1]"
1258,8,"[0, -1, -1, -1]"
1259,8,"[0, 0, -1, -1, -1]"
1260,-1,"[-1, -1, -1, -1, -1]"
1261,-1,"[-1, -1, -1, -1, -1]"
1262,2,"[0, 0, 0, 0, 0, 24, 0, 0, 0, 0, -1, -1, -1]"
1263,20,"[0, 0, 0, 0, -1, -1, -1]"
1264,30,"[0, 0, -1, -1, -1]"
1265,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1266,-1,"[-1, -1, -1, -1, -1]"
1267,-1,"[-1, -1, -1, -1, -1]"
1268,-1,"[-1, -1, -1, -1, -1]"
1269,1,"[872, 842, 811, 781, 750, 721, 690, 659, 629, 598, 568, 537, 506, 476, 445, 415, -1, 356, 325, 294, 264, 233, 203, 172, 141, 111, 80, 50, 19, 0, 0, 0, 0, 0, 0]"
1270,1,"[240, 210, 179, 149, 118, 89, 58, 27, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1271,1,"[28, 29, 0, 0, 0, 29, 29, 0, 0, -1, -1, -1]"
1272,1,"[18, 18, 49, 49, 80, 81, 81, 80, 81, 81, 81, 81, 80, 81, -1, 79, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1273,1,"[0, 0, -1, -1, -1]"
1274,7,"[0, 0, -1, -1, -1]"
1275,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1276,18,"[0, -1, 0, 0, 0, 0, 0, 8, -1, -1, -1]"
1277,2,"[-1, -1, -1, -1, -1, -1, 61, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 61, 62, 61, 61, 61, 61, 31, 59, 31, -1, -1]"
1278,2,"[-1, -1, -1, -1, -1, -1, 61, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 92, 62, 61, 61, 61, 61, 31, 59, 31, -1, -1, -1]"
1279,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1280,17,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1281,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1282,24,"[0, 0, -1, -1, -1]"
1283,39,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1284,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1285,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1286,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1287,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1288,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1289,130,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1290,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1291,117,"[0, -1, 634, 572, 545, -1, 511, 481, 421, -1, 391, 332, -1, 299, 269, 238, 207, -1, 146, 116, 85, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 1]"
1292,62,"[0, 0, -1, -1, 33, 32, 32, 2, 32, 63, 32, 1, 32, -1, 0, 1, 2, 0, 0, 42, 32, 2, 2, 1, 2, 32, 32, 122, 97, -1, 62, 63, 63, 33, 32, -1]"
1293,77,"[-1, 0, 0, 0, 0, -1, -1, -1]"
1294,62,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1]"
1295,-1,"[-1, -1, -1, -1, -1]"
1296,5,"[0, 0, -1, -1, -1]"
1297,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1298,6,"[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1299,0,"[0, -1, -1, -1]"
1300,1,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1301,1,"[-1, -1, -1, -1, -1, -1, -1, -1, 29, -1, -1, -1, -1, -1]"
1302,11,"[-1, -1, -1, -1, -1, -1, -1, -1]"
1303,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1304,15,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1305,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1306,21,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1307,27,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1308,39,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1309,41,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1310,52,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1311,64,"[-1, -1, -1, -1]"
1312,75,"[-1, -1, -1, -1, -1, -1, -1, -1]"
1313,76,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1314,14,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1315,61,"[0, -1, -1, 0, -1, -1, -1]"
1316,62,"[0, -1, -1, -1]"
1317,58,"[-1, 0, -1, -1, -1]"
1318,2,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1319,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1320,17,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1321,4,"[-1, -1, -1, -1]"
1322,20,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1323,89,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1324,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 4]"
1325,33,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1326,46,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1327,40,"[0, 54, 26, 26, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1328,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1329,2,"[-1, -1, -1, -1, -1, -1, 61, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 30, -1, 31, -1, -1, 39, 9, -1, 13, 31, -1, -1, 3, 31, 31, 92]"
1330,49,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1331,62,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1]"
1332,65,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1333,31,"[0, 0, -1, -1, -1, 31, 0, 49, 18, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1334,60,"[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1335,77,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1336,82,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1337,94,"[-1, -1, -1, -1, -1, -1]"
1338,81,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1339,102,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
1340,101,"[-1, -1, -1, -1]"
1341,70,"[-1, -1, -1, -1, -1, -1]"
1342,99,"[-1, -1, -1, -1]"
1343,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1344,10,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1345,10,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1346,28,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1347,1,"[179, 156, 120, 86, 87, 87, 57, 25, 24, 0, 0, 1, 0, 26, 25, 23, 24, 24, 23, 25, 23, 24, 1, -1, 25, 26, -1, 53, 56, 57, 54, 54, 54, 55, 54, 56]"
1348,29,"[0, -1, -1, 0, 92, 58, 28, 0, 0, 0, 0, 28, 28, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, -1, -1, 2, 0]"
1349,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1350,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1351,10,"[0, -1, -1, -1]"
1352,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1353,11,"[0, -1, 3, -1, -1, -1]"
1354,10,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1355,16,"[-1, -1, -1, -1]"
1356,10,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1357,13,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1358,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1359,22,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1360,30,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1361,46,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1362,49,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1363,23,"[0, -1, -1, 390, 390, 0, 0, 0, 390, 390, 390, 390, 390, 390, 390, 390, 390, 375, 360, 330, 300, 270, 240, 210, 180, 150, 120, 90, 60, 30, 60, 60, 60, 30, 30, 30]"
1364,63,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1365,66,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]"
1366,2,"[0, 0, 0, -1, -1, -1]"
1367,-1,"[-1, -1, -1, -1, -1]"
1368,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1369,1,"[0, 0, -1, -1, -1]"
1370,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1371,2,"[0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1372,1,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1373,3,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1374,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1375,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1376,26,"[0, 55, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1]"
1377,26,"[0, 59, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1]"
1378,40,"[-1, -1, -1, -1, -1, -1]"
1379,26,"[0, 136, 106, 75, 47, 16, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
1380,44,"[-1, -1, -1, -1, -1]"
1381,-1,"[-1, -1, -1, -1, -1]"
1382,6,"[0, 0, -1, -1, -1]"
1383,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1384,2,"[0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1385,2,"[0, 38, 38, 38, 0, 40, 70, 71, 71, 71, 71, 68, 71, 40, 38, 0, 0, 0, 0, 0]"
1386,1,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
1387,1,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
1388,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1389,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1390,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1391,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1392,11,"[0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -1]"
1393,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1394,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1395,80,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1396,-1,"[-1, -1, -1, -1, -1]"
1397,33,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 57, 27, 0, 0, 0, 0, 0, 0, 0]"
1398,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1399,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1400,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1401,21,"[0, 0, 28, 58, 27, 0, 27, 0, 25, 59, 89, 58, 28, 58, 59, 28, -1, 28, 27, 28, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1402,-1,"[-1, -1, -1, -1, -1]"
1403,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1404,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1405,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1406,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1407,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1408,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1409,1,"[-1, -1, -1, -1, -1, -1, -1]"
1410,1,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
1411,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1412,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1413,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1414,2,"[0, 26, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1415,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1]"
1416,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1]"
1417,4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1418,2,"[0, -1, 0, 0, -1, -1, -1]"
1419,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1420,2,"[0, -1, 0, -1, -1, -1]"
1421,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1422,19,"[0, 118, 119, 88, 58, 27, 0, -1, -1, -1]"
1423,2,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1424,52,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1425,131,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1426,57,"[-1, -1, -1, -1, -1, -1, -1]"
1427,2,"[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, -1, 900, 900, 900, -1, -1, -1, -1, -1, -1, -1, -1]"
1428,28,"[365, 334, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1429,28,"[365, 334, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1430,22,"[38, 8, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1431,22,"[38, 8, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1432,2,"[-1, -1, -1, -1, -1, -1, -1]"
1433,2,"[-1, -1, -1, -1, -1, -1, -1, -1]"
1434,6,"[-1, -1, -1, -1, -1]"
1435,5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
1436,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
1437,11,"[-1, -1, -1, -1]"
